timestamp,message,logStreamName
1770026167615,"REPORT RequestId: bdf5663f-a114-5c44-86be-07c5d7f6f67b	Duration: 12.22 ms	Billed Duration: 13 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167651,"START RequestId: 98a4b1ad-2a9c-5039-b092-d0575c7e52fa Version: $LATEST
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167652,"Processing 9 records
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167710,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167723,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167743,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167763,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167768,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167783,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167801,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167803,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167810,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167814,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167821,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167822,"Processing complete: {'processed': 0, 'failed': 7, 'alerts_triggered': 0}
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167824,"END RequestId: 21f7ffe7-2181-5da7-88e6-9e1d57632a7f
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167824,"REPORT RequestId: 21f7ffe7-2181-5da7-88e6-9e1d57632a7f	Duration: 224.13 ms	Billed Duration: 672 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	Init Duration: 446.92 ms	
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167841,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167851,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167861,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167861,"Processing complete: {'processed': 0, 'failed': 5, 'alerts_triggered': 0}
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167871,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167882,"END RequestId: f4b32d04-93a5-5135-ae0d-4cfee547a511
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167882,"REPORT RequestId: f4b32d04-93a5-5135-ae0d-4cfee547a511	Duration: 280.93 ms	Billed Duration: 757 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	Init Duration: 475.27 ms	
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167891,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
